raiz_cnpj,sufixo_cnpj,digito_cnpj,nome,endereco,telefone,data_criacao
46455698,3545,52,Amazon.com Inc.,5150 Monterey Pass,29221864073,2022-04-10 11:09:22
60909538,8674,10,Facebook Inc.,618 Stephen Way,41235875573,2023-01-26 07:01:25
68008882,4253,32,Tencent Holdings Ltd.,9595 Messerschmidt Parkway,33486749045,2024-02-04 00:41:11
41469386,5346,46,Mastercard Inc.,7946 Crowley Pass,43468491913,2023-05-16 16:59:49
64709067,7327,68,General Motors Company,0 Mayfield Road,74179259017,2024-08-12 05:21:21
18148187,8011,59,IBM Corporation,19655 Luster Terrace,36853541547,2023-12-21 03:43:30
32538520,6247,69,Procter & Gamble Co.,35 Pepper Wood Alley,55440847237,2022-04-20 11:35:37
20284911,8652,59,Walt Disney Company,64 Jay Crossing,69179775149,2022-01-23 20:08:28
69266083,4027,80,Coca-Cola Company,333 Bobwhite Street,92409121336,2024-02-01 20:07:09
82270655,6837,16,Tesla Inc.,4382 Lerdahl Park,70053408598,2022-05-30 10:48:04
96584984,5933,64,Visa Inc.,474 Kropf Point,01564688977,2024-05-04 05:30:43
82151101,7716,40,Ford Motor Company,30020 Daystar Avenue,52005885584,2024-05-10 15:19:34
69828109,5311,86,Nike Inc.,02 Sutteridge Pass,30183518497,2023-05-11 04:31:38
96586157,4821,72,Cisco Systems Inc.,0376 Loftsgordon Pass,88143649282,2023-02-12 23:40:04
52123095,5998,60,General Motors Company,323 Dunning Road,87415200624,2022-04-09 22:07:24
62617032,9386,20,General Motors Company,0876 Hansons Crossing,61453785088,2024-10-12 08:18:52
23484320,7676,24,Facebook Inc.,3 Duke Pass,64283052938,2022-06-22 04:49:21
36016032,8295,84,Ford Motor Company,8 Warbler Point,39981546780,2023-02-06 15:52:58
45258087,7025,77,Johnson & Johnson,49 Valley Edge Court,53416024551,2022-07-04 15:06:31
47122293,6303,13,Apple Inc.,43169 Westend Park,00792541458,2024-06-13 06:32:59
89488321,6914,21,General Motors Company,31577 Vahlen Court,93151713415,2024-06-29 17:24:08
62885825,6716,3,Alphabet Inc.,565 7th Point,05484555492,2023-02-07 12:22:16
78866264,2891,34,Salesforce.com Inc.,1356 Glacier Hill Park,26821080203,2024-08-27 12:21:36
50631130,1712,91,General Motors Company,69941 Hoard Point,66389489933,2024-06-01 06:33:12
38664834,6354,31,Nike Inc.,76 Milwaukee Park,22430464731,2024-09-17 12:26:24
18274861,7140,1,Coca-Cola Company,7 Randy Drive,64786254962,2023-06-07 14:20:41
16829987,2460,97,Ford Motor Company,2 Cottonwood Way,66598099027,2024-08-08 13:08:41
29775915,6158,33,McDonald's Corporation,20 Nova Point,10752855422,2022-10-04 18:58:53
38280653,4896,81,Adobe Inc.,99819 Trailsway Avenue,54904865620,2023-10-31 10:27:28
98194308,2354,58,Cisco Systems Inc.,424 Green Park,46574759369,2024-06-07 05:25:05
